"serverTime","source","sign","sourceTime","logLevel","process","message"
"Tue Mar 06 2018 22:04:02 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 22:04:02 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 1 hour)"
"Tue Mar 06 2018 22:08:13 GMT-0500 (EST)","server","server","Tue Mar 06 2018 22:08:13 GMT-0500 (EST)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Tue Mar 06 2018 22:08:13 GMT-0500 (EST)","server","server","Tue Mar 06 2018 22:08:13 GMT-0500 (EST)","4","server.start","Server started, configuration sharpie"
"Tue Mar 06 2018 22:09:58 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 22:09:58 GMT-0500 (EST)","4","checkHeartbeat","First heartbeat from existing sign"
"Tue Mar 06 2018 22:11:44 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 22:11:44 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 1 hour)"
"Tue Mar 06 2018 22:15:04 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 22:15:04 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 1 hour)"
"Tue Mar 06 2018 22:18:24 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 22:18:24 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 1 hour)"
"Tue Mar 06 2018 22:21:44 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 22:21:44 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 1 hour)"
"Tue Mar 06 2018 22:25:04 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 22:25:04 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 1 hour)"
"Tue Mar 06 2018 22:26:26 GMT-0500 (EST)","server","server","Tue Mar 06 2018 22:26:26 GMT-0500 (EST)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Tue Mar 06 2018 22:26:26 GMT-0500 (EST)","server","server","Tue Mar 06 2018 22:26:26 GMT-0500 (EST)","4","server.start","Server started, configuration sharpie"
"Tue Mar 06 2018 22:28:45 GMT-0500 (EST)","server","server","Tue Mar 06 2018 22:28:45 GMT-0500 (EST)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Tue Mar 06 2018 22:28:45 GMT-0500 (EST)","server","server","Tue Mar 06 2018 22:28:45 GMT-0500 (EST)","4","server.start","Server started, configuration sharpie"
"Tue Mar 06 2018 22:29:59 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 22:29:59 GMT-0500 (EST)","4","checkHeartbeat","First heartbeat from existing sign"
"Tue Mar 06 2018 22:33:14 GMT-0500 (EST)","server","server","Tue Mar 06 2018 22:33:14 GMT-0500 (EST)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Tue Mar 06 2018 22:33:14 GMT-0500 (EST)","server","server","Tue Mar 06 2018 22:33:14 GMT-0500 (EST)","4","server.start","Server started, configuration sharpie"
"Tue Mar 06 2018 22:33:18 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 22:33:18 GMT-0500 (EST)","4","checkHeartbeat","First heartbeat from existing sign"
"Tue Mar 06 2018 22:35:58 GMT-0500 (EST)","server","server","Tue Mar 06 2018 22:35:58 GMT-0500 (EST)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Tue Mar 06 2018 22:35:58 GMT-0500 (EST)","server","server","Tue Mar 06 2018 22:35:58 GMT-0500 (EST)","4","server.start","Server started, configuration sharpie"
"Tue Mar 06 2018 22:36:38 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 22:36:38 GMT-0500 (EST)","4","checkHeartbeat","First heartbeat from existing sign"
"Tue Mar 06 2018 22:41:15 GMT-0500 (EST)","server","server","Tue Mar 06 2018 22:41:15 GMT-0500 (EST)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Tue Mar 06 2018 22:41:16 GMT-0500 (EST)","server","server","Tue Mar 06 2018 22:41:16 GMT-0500 (EST)","4","server.start","Server started, configuration sharpie"
"Tue Mar 06 2018 22:43:18 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 22:43:18 GMT-0500 (EST)","4","checkHeartbeat","First heartbeat from existing sign"
"Tue Mar 06 2018 22:44:39 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 22:44:39 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 1 hour)"
"Tue Mar 06 2018 22:46:53 GMT-0500 (EST)","server","server","Tue Mar 06 2018 22:46:53 GMT-0500 (EST)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Tue Mar 06 2018 22:46:53 GMT-0500 (EST)","server","server","Tue Mar 06 2018 22:46:53 GMT-0500 (EST)","4","server.start","Server started, configuration sharpie"
"Tue Mar 06 2018 22:49:59 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 22:49:59 GMT-0500 (EST)","4","checkHeartbeat","First heartbeat from existing sign"
"Tue Mar 06 2018 22:50:18 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 22:50:18 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 2 hours)"
"Tue Mar 06 2018 22:53:38 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 22:53:38 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 2 hours)"
"Tue Mar 06 2018 22:56:58 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 22:56:58 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 2 hours)"
"Tue Mar 06 2018 23:00:18 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 23:00:18 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 2 hours)"
"Tue Mar 06 2018 23:03:39 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 23:03:39 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 2 hours)"
